Order_Added,valid_AphiaID,length_cm,diameter_width_cm,height_cm,Notes,Size_Ref,Date_Added
35216,504290,,,1.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35217,504293,,,2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35218,504297,,,5.04,Shell Height,"{Liggia, 2013 #644}",12/2/22
35219,504298,,,3.75,Shell Height,"{Liggia, 2013 #644}",12/2/22
35220,504305,,,2.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35221,504309,,,5.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35222,504311,,,1.9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35223,504313,,,4.6,Shell Height,"{Liggia, 2013 #644}",12/2/22
35224,504315,,,7.26,Shell Height,"{Liggia, 2013 #644}",12/2/22
35225,504318,,,2.86,Shell Height,"{Liggia, 2013 #644}",12/2/22
35226,504322,,,4.46,Shell Height,"{Liggia, 2013 #644}",12/2/22
35227,504326,,,2.67,Shell Height,"{Liggia, 2013 #644}",12/2/22
35228,504327,,,6.89,Shell Height,"{Liggia, 2013 #644}",12/2/22
35229,504331,,,5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35230,504332,,,4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35231,504337,,,3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35232,504339,,,3.1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35233,504344,,,3.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35234,504349,,,5.1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35235,504350,,,5.01,Shell Height,"{Liggia, 2013 #644}",12/2/22
35236,504351,,,12.24,Shell Height,"{Liggia, 2013 #644}",12/2/22
35237,504352,,,4.25,Shell Height,"{Liggia, 2013 #644}",12/2/22
35238,504357,,,12.34,Shell Height,"{Liggia, 2013 #644}",12/2/22
35239,504360,,,7.1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35240,504363,,,1.75,Shell Height,"{Liggia, 2013 #644}",12/2/22
35241,504365,,,3.67,Shell Height,"{Liggia, 2013 #644}",12/2/22
35242,504368,,,1.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35243,504374,,,7.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35244,504384,,,3.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35245,504385,,,3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35246,504386,,,4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35247,504387,,,5.21,Shell Height,"{Liggia, 2013 #644}",12/2/22
35248,504394,,,3.91,Shell Height,"{Liggia, 2013 #644}",12/2/22
35249,504404,,,2.07,Shell Height,"{Liggia, 2013 #644}",12/2/22
35250,504415,,,0.21,Shell Height,"{Liggia, 2013 #644}",12/2/22
35251,504426,,,1.33,Shell Height,"{Liggia, 2013 #644}",12/2/22
35252,504427,,,0.85,Shell Height,"{Liggia, 2013 #644}",12/2/22
35253,504428,,,0.75,Shell Height,"{Liggia, 2013 #644}",12/2/22
35254,504430,,,2.65,Shell Height,"{Liggia, 2013 #644}",12/2/22
35255,504440,,,0.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35256,504441,,,0.69,Shell Height,"{Liggia, 2013 #644}",12/2/22
35257,504442,,,1.46,Shell Height,"{Liggia, 2013 #644}",12/2/22
35258,504447,,,2.6,Shell Height,"{Liggia, 2013 #644}",12/2/22
35259,504448,,,3.07,Shell Height,"{Liggia, 2013 #644}",12/2/22
35260,504455,,,1.14,Shell Height,"{Liggia, 2013 #644}",12/2/22
35261,504456,,,1.66,Shell Height,"{Liggia, 2013 #644}",12/2/22
35262,504458,,,11.24,Shell Height,"{Liggia, 2013 #644}",12/2/22
35263,504466,,,3.092,Shell Height,"{Liggia, 2013 #644}",12/2/22
35264,504468,,,1.36,Shell Height,"{Liggia, 2013 #644}",12/2/22
35265,504471,,,2.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35266,504472,,,4.21,Shell Height,"{Liggia, 2013 #644}",12/2/22
35267,504473,,,2.84,Shell Height,"{Liggia, 2013 #644}",12/2/22
35268,504474,,,6.9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35269,504475,,,6,Shell Height,"{Liggia, 2013 #644}",12/2/22
35270,504478,,,1.46,Shell Height,"{Liggia, 2013 #644}",12/2/22
35271,504482,,,1.1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35272,138790,,,0.25,Shell Height,"{Liggia, 2013 #644}",12/2/22
35273,504291,,,2.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35274,504294,,,2.9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35275,504296,,,3.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35276,504308,,,3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35277,504310,,,4.36,Shell Height,"{Liggia, 2013 #644}",12/2/22
35278,504312,,,3.6,Shell Height,"{Liggia, 2013 #644}",12/2/22
35279,504314,,,7.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35280,504317,,,3.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35281,504320,,,6.02,Shell Height,"{Liggia, 2013 #644}",12/2/22
35282,504328,,,4.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35283,504338,,,6.74,Shell Height,"{Liggia, 2013 #644}",12/2/22
35284,504341,,,2.15,Shell Height,"{Liggia, 2013 #644}",12/2/22
35285,504341,,,2.15,Shell Height,"{Liggia, 2013 #644}",12/2/22
35286,504343,,,5.6,Shell Height,"{Liggia, 2013 #644}",12/2/22
35287,504348,,,4.45,Shell Height,"{Liggia, 2013 #644}",12/2/22
35288,504358,,,4.1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35289,504362,,,4.35,Shell Height,"{Liggia, 2013 #644}",12/2/22
35290,504364,,,2.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35291,504370,,,2.85,Shell Height,"{Liggia, 2013 #644}",12/2/22
35292,504379,,,3.28,Shell Height,"{Liggia, 2013 #644}",12/2/22
35293,504395,,,5.96,Shell Height,"{Liggia, 2013 #644}",12/2/22
35294,504397,,,5.75,Shell Height,"{Liggia, 2013 #644}",12/2/22
35295,504401,,,4.65,Shell Height,"{Liggia, 2013 #644}",12/2/22
35296,504411,,,0.25,Shell Height,"{Liggia, 2013 #644}",12/2/22
35297,504417,,,0.45,Shell Height,"{Liggia, 2013 #644}",12/2/22
35298,504420,,,0.74,Shell Height,"{Liggia, 2013 #644}",12/2/22
35299,504439,,,0.29,Shell Height,"{Liggia, 2013 #644}",12/2/22
35300,504445,,,7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35301,504446,,,1.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35302,504453,,,1.24,Shell Height,"{Liggia, 2013 #644}",12/2/22
35303,504454,,,0.44,Shell Height,"{Liggia, 2013 #644}",12/2/22
35304,504467,,,5.66,Shell Height,"{Liggia, 2013 #644}",12/2/22
35305,504477,,,10.6,Shell Height,"{Liggia, 2013 #644}",12/2/22
35306,545906,,,2.1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35307,835604,,,3.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35308,138799,,,2.9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35309,146490,,,3.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35310,207774,,,2.83,Shell Height,"{Liggia, 2013 #644}",12/2/22
35311,207774,,,7.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35312,225162,,,5.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35313,457806,,,3.13,Shell Height,"{Liggia, 2013 #644}",12/2/22
35314,504350,,,3.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35315,504356,,,8.06,Shell Height,"{Liggia, 2013 #644}",12/2/22
35316,504394,,,3.1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35317,504435,,,2.81,Shell Height,"{Liggia, 2013 #644}",12/2/22
35318,504443,,,8.6,Shell Height,"{Liggia, 2013 #644}",12/2/22
35319,504444,,,9.47,Shell Height,"{Liggia, 2013 #644}",12/2/22
35320,582484,,,2.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35321,582484,,,2.59,Shell Height,"{Liggia, 2013 #644}",12/2/22
35322,871351,,,1.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35323,871361,,,2.65,Shell Height,"{Liggia, 2013 #644}",12/2/22
35324,1548265,,,3.59,Shell Height,"{Liggia, 2013 #644}",12/2/22
35325,225380,,,4.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35326,1606020,,,2.63,Shell Height,"{Liggia, 2013 #644}",12/2/22
35327,139225,,,3.73,Shell Height,"{Liggia, 2013 #644}",12/2/22
35328,139234,,,0.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35329,139391,,,0.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35330,183133,,,0.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35331,197526,,,0.53,Shell Height,"{Liggia, 2013 #644}",12/2/22
35332,396166,,,4.47,Shell Height,"{Liggia, 2013 #644}",12/2/22
35333,420246,,,5.6,Shell Height,"{Liggia, 2013 #644}",12/2/22
35334,420256,,,0.6,Shell Height,"{Liggia, 2013 #644}",12/2/22
35335,420337,,,0.69,Shell Height,"{Liggia, 2013 #644}",12/2/22
35336,432606,,,3.97,Shell Height,"{Liggia, 2013 #644}",12/2/22
35337,432607,,,5.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35338,432609,,,1.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35339,432610,,,2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35340,432615,,,6.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35341,432759,,,2.24,Shell Height,"{Liggia, 2013 #644}",12/2/22
35342,432888,,,2.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35343,433104,,,4.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35344,433105,,,5.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35345,433106,,,6.238,Shell Height,"{Liggia, 2013 #644}",12/2/22
35346,433155,,,6.09,Shell Height,"{Liggia, 2013 #644}",12/2/22
35347,433880,,,0.81,Shell Height,"{Liggia, 2013 #644}",12/2/22
35348,434011,,,4.04,Shell Height,"{Liggia, 2013 #644}",12/2/22
35349,434012,,,0.93,Shell Height,"{Liggia, 2013 #644}",12/2/22
35350,434401,,,0.78,Shell Height,"{Liggia, 2013 #644}",12/2/22
35351,434545,,,2.93,Shell Height,"{Liggia, 2013 #644}",12/2/22
35352,434547,,,3.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35353,434827,,,2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35354,434828,,,2.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35355,435059,,,4.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35356,435062,,,3.21,Shell Height,"{Liggia, 2013 #644}",12/2/22
35357,435063,,,2.17,Shell Height,"{Liggia, 2013 #644}",12/2/22
35358,435065,,,1.42,Shell Height,"{Liggia, 2013 #644}",12/2/22
35359,435069,,,1.9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35360,435085,,,1.06,Shell Height,"{Liggia, 2013 #644}",12/2/22
35361,435086,,,1.21,Shell Height,"{Liggia, 2013 #644}",12/2/22
35362,435088,,,2.64,Shell Height,"{Liggia, 2013 #644}",12/2/22
35363,435089,,,1.55,Shell Height,"{Liggia, 2013 #644}",12/2/22
35364,435171,,,0.91,Shell Height,"{Liggia, 2013 #644}",12/2/22
35365,435173,,,2.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35366,435247,,,4.98,Shell Height,"{Liggia, 2013 #644}",12/2/22
35367,435248,,,5.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35368,536660,,,4.63,Shell Height,"{Liggia, 2013 #644}",12/2/22
35369,536664,,,6.9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35370,536668,,,3.61,Shell Height,"{Liggia, 2013 #644}",12/2/22
35371,576379,,,6.21,Shell Height,"{Liggia, 2013 #644}",12/2/22
35372,598992,,,0.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35373,600574,,,1.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35374,181081,,,1.13,Shell Height,"{Liggia, 2013 #644}",12/2/22
35375,181082,,,1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35376,225380,,,2.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35377,432608,,,2.1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35378,432613,,,3.9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35379,433073,,,0.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35380,433103,,,4.25,Shell Height,"{Liggia, 2013 #644}",12/2/22
35381,433142,,,2.15,Shell Height,"{Liggia, 2013 #644}",12/2/22
35382,433569,,,1.22,Shell Height,"{Liggia, 2013 #644}",12/2/22
35383,433917,,,1.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35384,434407,,,0.47,Shell Height,"{Liggia, 2013 #644}",12/2/22
35385,434546,,,3.25,Shell Height,"{Liggia, 2013 #644}",12/2/22
35386,434554,,,2.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35387,434826,,,0.91,Shell Height,"{Liggia, 2013 #644}",12/2/22
35388,434829,,,2.83,Shell Height,"{Liggia, 2013 #644}",12/2/22
35389,435058,,,1.1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35390,435061,,,1.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35391,435068,,,1.1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35392,549623,,,5.6,Shell Height,"{Liggia, 2013 #644}",12/2/22
35393,579825,,,5.6,Shell Height,"{Liggia, 2013 #644}",12/2/22
35394,759718,,,0.65,Shell Height,"{Liggia, 2013 #644}",12/2/22
35395,842921,,,4.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35396,138853,,,2.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35397,138855,,,12.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35398,138858,,,7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35399,138864,,,6.68,Shell Height,"{Liggia, 2013 #644}",12/2/22
35400,138865,,,0.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35401,138866,,,5.67,Shell Height,"{Liggia, 2013 #644}",12/2/22
35402,138868,,,3.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35403,138869,,,2.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35404,138871,,,1.9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35405,138873,,,5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35406,138875,,,5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35407,138878,,,8.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35408,138880,,,0.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35409,138889,,,0.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35410,138892,,,0.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35411,138900,,,6.1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35412,138902,,,13.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35413,138903,,,5.83,Shell Height,"{Liggia, 2013 #644}",12/2/22
35414,138906,,,6.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35415,138911,,,1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35416,138912,,,3.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35417,138913,,,3.45,Shell Height,"{Liggia, 2013 #644}",12/2/22
35418,138917,,,1.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35419,138920,,,14.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35420,138922,,,9.59,Shell Height,"{Liggia, 2013 #644}",12/2/22
35421,138923,,,12.9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35422,138924,,,1.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35423,138930,,,10,Shell Height,"{Liggia, 2013 #644}",12/2/22
35424,138932,,,6.9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35425,138933,,,4.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35426,138934,,,5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35427,138938,,,9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35428,156264,,,14,Shell Height,"{Liggia, 2013 #644}",12/2/22
35429,160127,,,8.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35430,160214,,,2.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35431,160215,,,9.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35432,197045,,,2.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35433,197059,,,0.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35434,197104,,,3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35435,197105,,,3.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35436,197109,,,3.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35437,197112,,,0.457,Shell Height,"{Liggia, 2013 #644}",12/2/22
35438,197113,,,2.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35439,197303,,,4.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35440,197386,,,0.9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35441,197390,,,6.478,Shell Height,"{Liggia, 2013 #644}",12/2/22
35442,197399,,,1.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35443,197404,,,1.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35444,197406,,,0.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35445,197408,,,0.47,Shell Height,"{Liggia, 2013 #644}",12/2/22
35446,197412,,,0.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35447,197413,,,0.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35448,197420,,,1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35449,197422,,,0.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35450,212160,,,0.68,Shell Height,"{Liggia, 2013 #644}",12/2/22
35451,212164,,,1.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35452,212165,,,2.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35453,212166,,,1.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35454,212172,,,1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35455,215046,,,3.9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35456,215672,,,2.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35457,215674,,,3.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35458,217054,,,1.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35459,217058,,,4.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35460,217059,,,2.1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35461,217062,,,3.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35462,217064,,,3.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35463,217066,,,2.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35464,225653,,,5.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35465,225654,,,3.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35466,225655,,,3.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35467,225656,,,3.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35468,225725,,,5.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35469,233471,,,4.6,Shell Height,"{Liggia, 2013 #644}",12/2/22
35470,234108,,,1.1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35471,254378,,,17,Shell Height,"{Liggia, 2013 #644}",12/2/22
35472,254477,,,19.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35473,254478,,,4.9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35474,388286,,,1.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35475,388287,,,5.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35476,389996,,,2.66,Shell Height,"{Liggia, 2013 #644}",12/2/22
35477,395929,,,4.22,Shell Height,"{Liggia, 2013 #644}",12/2/22
35478,395931,,,5.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35479,395932,,,6.14,Shell Height,"{Liggia, 2013 #644}",12/2/22
35480,396298,,,1.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35481,396302,,,1.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35482,396573,,,1.89,Shell Height,"{Liggia, 2013 #644}",12/2/22
35483,399353,,,0.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35484,405961,,,5.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35485,419960,,,2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35486,419961,,,1.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35487,419962,,,1.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35488,419964,,,1.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35489,419965,,,1.1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35490,419966,,,1.9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35491,419968,,,5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35492,419969,,,2.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35493,419970,,,1.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35494,419973,,,4.55,Shell Height,"{Liggia, 2013 #644}",12/2/22
35495,419976,,,1.8,Shell Height,"{Liggia, 2013 #644}",12/2/22
35496,419979,,,5.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35497,419981,,,3.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35498,423554,,,14.1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35499,448506,,,8.6,Shell Height,"{Liggia, 2013 #644}",12/2/22
35500,457177,,,3.75,Shell Height,"{Liggia, 2013 #644}",12/2/22
35501,457385,,,0.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35502,457553,,,0.96,Shell Height,"{Liggia, 2013 #644}",12/2/22
35503,457677,,,2.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35504,458538,,,3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35505,458540,,,3.02,Shell Height,"{Liggia, 2013 #644}",12/2/22
35506,458609,,,1.22,Shell Height,"{Liggia, 2013 #644}",12/2/22
35507,458726,,,16.62,Shell Height,"{Liggia, 2013 #644}",12/2/22
35508,467486,,,1.79,Shell Height,"{Liggia, 2013 #644}",12/2/22
35509,478535,,,0.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35510,490670,,,7.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35511,490671,,,4.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35512,490673,,,9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35513,490674,,,4.6,Shell Height,"{Liggia, 2013 #644}",12/2/22
35514,490675,,,4.9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35515,490676,,,4.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35516,490683,,,22.7,Shell Height,"{Liggia, 2013 #644}",12/2/22
35517,490685,,,3.83,Shell Height,"{Liggia, 2013 #644}",12/2/22
35518,490689,,,8.9,Shell Height,"{Liggia, 2013 #644}",12/2/22
35519,490699,,,5.58,Shell Height,"{Liggia, 2013 #644}",12/2/22
35520,490701,,,4.2,Shell Height,"{Liggia, 2013 #644}",12/2/22
35521,490706,,,2.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35522,490708,,,2.4,Shell Height,"{Liggia, 2013 #644}",12/2/22
35523,490709,,,1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35524,490712,,,2.6,Shell Height,"{Liggia, 2013 #644}",12/2/22
35525,490715,,,0.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35526,490719,,,3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35527,490721,,,1.05,Shell Height,"{Liggia, 2013 #644}",12/2/22
35528,490727,,,1.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35529,490728,,,3.1,Shell Height,"{Liggia, 2013 #644}",12/2/22
35530,490729,,,2.14,Shell Height,"{Liggia, 2013 #644}",12/2/22
35531,490730,,,0.5,Shell Height,"{Liggia, 2013 #644}",12/2/22
35532,490731,,,0.47,Shell Height,"{Liggia, 2013 #644}",12/2/22
35533,490733,,,2.3,Shell Height,"{Liggia, 2013 #644}",12/2/22
35534,490735,,,7,Shell Height,"{Liggia, 2013 #644}",12/2/22
